Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Beeline 2,Monte Carlo Beeline 3,Two,Normal,51,292138,0,1A 18A G 14A 5A G 7A 12D G 12A 11C G 17C 16D G 10C 4C G 14B 4A G 9D 8D G 12C 8A G 13C 11D G 3A 9C G 20D 4D G 16C 3C G 15A 2D G 15D 8B G 20A 4D G 3D 15C G
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,54,423057,69,18B 15A G 14B 3A G 11A 13B G 11B 9B G 4C 9A G 12B 10B G 10C 14C G 7C 7A G 9C 13B G 7B 9C G 8C 2C G 2D 20C G 12C 19A G 19C 8A G 8B 1B G 14A 17D G 20A 20D G 15C 16A G
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,48,340283,53,14B 1B G 15A 20D G 19D 16C G 16D 4D G 6B 4A G 9C 13A G 13C 20A G 12C 3A G 11B 20C G 20B 2C G 8D 3D G 9A 5A G 19C 6C G 17B 6D G 13D 8A G 18B 19A G
Monte Carlo Beeline 2,Monte Carlo Tree Search,Two,Normal,63,426965,27,7D 20B G 13B 19B G 17A 18B G 5B 20A G 16A 20D G 1A 18A G 13A 18C G 18D 13C G 15C 6B G 16D 13D G 6A 11B G 9B 6D G 14D 7C G 2D 4A G 10C 5B G 20D 19C G 10C 5B G 9D 14C G 11C 4D G 9C 10B G 3A 9D G
Monte Carlo Tree Search,Monte Carlo Beeline 2,One,Normal,66,397856,60,16A 10C G 18C 19C G 6D 16B G 20C 20A G 3D 9B G 19A 7A G 12A 20D G 4D 13D G 19B 6A G 11D 15C G 13C 1A G 13A 15B G 6C 4A G 2B 15C G 1C 5B G 1B 15C G 17C 2A G 1B 2D G 11A 1D G 11D 3B G 11B 17A G 8D 15A G
Deep Beeline,Monte Carlo Tree Search,Two,Normal,42,139905,34,9C 12A G 20D 6B G 5C 1D G 15A 7D G 2A 18B G 19B 3C G 18A 1B G 9B 10B G 8C 16C G 15A 4B G 3D 11B G 13A 16D G 5B 7B G 15A 17A G
Monte Carlo Beeline 3,Kitty Corner,One,Normal,51,140809,30,8C 13A G 8A 4B G 14A 3A G 2A 20B G 3C 1A G 6A 5A G 10D 8D G 3B 16B G 4D 13C G 2C 15D G 12D 13D G 2C 11A G 15C 4C G 2B 16D G 15A 18B G 8B 16C G 17A 13D G
Monte Carlo Beeline 3,Barricade,One,Normal,54,134266,35,9D 17C G 9A 11D G 19B 14B G 4C 1C G 3D 1A G 6D 13A G 18A 2D G 4A 8A G 2B 2C G 20D 20C G 6C 6A G 8B 15A G 16A 1D G 17C 16B G 15D 17D G 5D 3C G 10B 12A G 10D 19C G
Tile Skipper,Monte Carlo Beeline 3,Two,Normal,48,127203,79,20D 14D G 3B 6B G 6C 9C G 19B 1A G 2B 3A G 20C 2C G 4B 3C G 5B 1B G 2A 16A G 19A 3D G 4C 8C G 16B 7A G 8A 14C G 16D 5D G 12A 11C G 7B 8B G
Kitty Corner,Random,Two,Normal,60,100,24,7A 4D G 15C 2A G 3A 13B G 11D 4A G 9A 4B G 14B 14A G 7D 4C G 20A 3B G 2C 15A G 17D 9B G 7C 6A G 11A 14D G 3A 5C G 20B 10D G 17A 10B G 12C 8C G 2C 17D G 17D 3A G 19A 20B G 15B 3D G
Monte Carlo Beeline 3,Monte Carlo Beeline 2,One,Normal,84,507715,17,5B 8A G 20A 9B G 8B 6C G 18C 18B G 17C 17A G 17B 16B G 1A 18D G 19A 19C G 1C 6D G 2D 7D G 11B 12B G 11A 13D G 12A 13A G 2A 2C G 7C 7B G 11C 16D G 14B 4C G 10B 8B G 9A 13A G 11C 14A G 16D 10A G 2A 13D G 4B 10A G 2A 4B G 18B 18D G 2A 16D G 2C 3C G 2D 7A G
Monte Carlo Beeline 1,Monte Carlo Tree Search,Two,Normal,69,256794,43,11D 7C G 16D 7B G 8B 12D G 16B 7A G 20C 11A G 3B 18B G 20B 19B G 13C 4B G 3C 5B G 8D 11C G 4C 4D G 4A 9C G 17A 14B G 5D 12B G 18C 13C G 9D 13B G 10B 5B G 4D 10B G 13B 8D G 5A 10A G 2C 2D G 10C 10D G 9C 9B G
Monte Carlo Tree Search,Kitty Corner,One,Normal,54,176636,26,7C 2A G 3A 3C G 8C 4A G 9A 14D G 15C 14A G 19A 14C G 11B 3B G 19B 3C G 5C 3B G 4B 12C G 6A 19B G 2C 11C G 5C 3B G 3D 6B G 2D 11D G 1B 17A G 15B 5D G 18D 16D G
Monte Carlo Tree Search,Random,One,Normal,48,156929,33,9B 4D G 5B 8C G 13D 20B G 3C 7D G 15C 10B G 5A 10A G 9D 9A G 15A 11A G 20C 19A G 10C 1D G 6D 5C G 18D 16D G 3B 12C G 14C 6D G 12A 17A G 5A 8A G
Barricade,Monte Carlo Tree Search,Two,Normal,69,225597,6,2C 1C G 16A 1A G 6D 1D G 12C 2D G 6C 15A G 13B 5C G 12A 5D G 8C 3A G 3C 17B G 15C 17D G 4D 2B G 4C 9C G 11A 9A G 18B 11D G 10A 18C G 18A 13D G 18D 15A G 20B 5A G 3B 10C G 10C 17D G 7D 16D G 10C 6C G 5A 8D G
Monte Carlo Beeline 3,Random,One,Normal,48,119810,5,2B 8A G 10D 14A G 18B 16D G 19B 4D G 13A 20A G 19C 20C G 20D 7D G 19D 6D G 7C 13D G 16D 4B G 6A 12B G 6B 16B G 1A 15B G 7D 11A G 11D 12B G 2C 16C G
Monte Carlo Beeline 3,Monte Carlo Beeline 1,One,Normal,54,155075,69,18B 6B G 1B 15D G 6C 13D G 8C 1A G 6A 1D G 15B 5C G 16D 18A G 10A 14B G 12D 12B G 14A 7A G 19C 5A G 17A 17D G 12A 18D G 9D 2D G 7C 9B G 13C 14D G 16A 13B G 2C 3C G
Monte Carlo Tree Search,Bee Line,One,Normal,42,134781,5,2B 17A G 5A 6B G 20A 5D G 18A 18D G 11C 18B G 10C 1D G 20C 19A G 14A 16C G 19B 13D G 9C 2B G 2D 9A G 13B 12D G 8C 9D G 13A 6A G
Monte Carlo Beeline 1,Monte Carlo Beeline 3,Two,Normal,57,141056,63,16D 9A G 15D 14A G 19A 14B G 7A 6B G 1A 13D G 12C 13A G 16B 11B G 6A 6D G 13B 11D G 15C 20D G 4D 3A G 8D 13C G 5C 10A G 3B 20B G 18D 4B G 4A 12D G 14C 3D G 8C 5A G 5B 12A G
